name,batch,industry,region,one_liner,website,status,team_size
Indexable,X26,"B2B, Infrastructure",,sandbox infrastructure for AI agents,https://ix.dev,Active,3
Datost,X26,"B2B, Analytics",,AI data analyst in Slack. Democratize data.,https://www.datost.com,Active,2
Minicor,X26,"B2B, Infrastructure",,Run self-healing desktop automations at scale,https://minicor.com,Active,4
Arga Labs,X26,B2B,,The validation framework for AI agents,https://www.argalabs.com/,Active,3
qomplement,X26,B2B,,AI Agents for Document Filling,https://qomplement.com/,Active,4
Cardinal,W26,B2B,,AI Platform for Precision Outbound,https://trycardinal.ai/,Active,
Wideframe,W26,B2B,,AI coworker for video editors,https://try.wideframe.com,Active,2
Martini,W26,"B2B, Engineering, Product and Design",,Collaborative AI-native filmmaking for professionals,https://martini.film,Active,2
Condor Energy,W26,"Industrials, Energy",,"Energy OS enabling reliable, cheap and sustainable electricity supply.",https://www.condor.energy,Active,3
Resonate,W26,Consumer,,The first AI-native messaging platform.,https://resonate.audio,Active,
Shofo,W26,"B2B, Infrastructure",,The World's Largest Video Library,https://shofo.ai/,Active,4
Wayco,W26,"B2B, Legal",,AI operator for legal case referrals,https://wayco.ai,Active,1
Unifold,W26,"Fintech, Payments",,Multi-chain deposit and payment infrastructure,https://unifold.io,Active,3
Carrot Labs,W26,B2B,,Continuous Fine-Tuning for AI Models,https://carrotlabs.ai/,Active,2
Aurorin CAD,W26,"B2B, Engineering, Product and Design",,We help hardware companies ship faster,https://aurorincad.com,Active,1
DAIVIN!,W26,"Industrials, Defense",,"Tankless Dive Gear - Breath Autonomy at Sea, Land & Space",https://www.daivin.tech/,Active,1
GrazeMate,W26,"Industrials, Agriculture",,Robot Cowboys that Herd Cattle with AI Drones,https://grazemate.com,Active,4
Origami Robotics,W26,Industrials,,Manipulate Anything Robot,https://www.origami-robotics.com,Active,5
Librar Labs,W26,B2B,,Makes sense of unstructured data for enterprises.,https://www.librarlabs.com,Active,4
Rubric AI,W26,B2B,,Post-training research and product lab,https://therubric.ai,Active,2
Zymbly,W26,B2B,,Automates admin for aircraft technicians,https://www.zymbly.com,Active,3
Ritivel,W26,"Healthcare, Healthcare IT",,AI-native platform for Life-Sciences Documentation,https://www.ritivel.com,Active,3
Polymorph,W26,B2B,,Personalized AI growth team for consumer apps,https://usepolymorph.com/,Active,3
Pollinate,W26,"B2B, Supply Chain and Logistics",,AI Agents for the supply chain.,https://www.pollinate.tech/,Active,2
SpotPay,W26,"Fintech, Consumer Finance",,Cross-border Personal Finance on Stablecoins,https://www.spotpay.ai/,Active,2
Indexable,X26,"B2B, Infrastructure",,sandbox infrastructure for AI agents,https://ix.dev,Active,3
Datost,X26,"B2B, Analytics",,AI data analyst in Slack. Democratize data.,https://www.datost.com,Active,2
Minicor,X26,"B2B, Infrastructure",,Run self-healing desktop automations at scale,https://minicor.com,Active,4
Arga Labs,X26,B2B,,The validation framework for AI agents,https://www.argalabs.com/,Active,3
qomplement,X26,B2B,,AI Agents for Document Filling,https://qomplement.com/,Active,4
Cardinal,W26,B2B,,AI Platform for Precision Outbound,https://trycardinal.ai/,Active,
Wideframe,W26,B2B,,AI coworker for video editors,https://try.wideframe.com,Active,2
Martini,W26,"B2B, Engineering, Product and Design",,Collaborative AI-native filmmaking for professionals,https://martini.film,Active,2
Condor Energy,W26,"Industrials, Energy",,"Energy OS enabling reliable, cheap and sustainable electricity supply.",https://www.condor.energy,Active,3
Resonate,W26,Consumer,,The first AI-native messaging platform.,https://resonate.audio,Active,
Shofo,W26,"B2B, Infrastructure",,The World's Largest Video Library,https://shofo.ai/,Active,4
Wayco,W26,"B2B, Legal",,AI operator for legal case referrals,https://wayco.ai,Active,1
Unifold,W26,"Fintech, Payments",,Multi-chain deposit and payment infrastructure,https://unifold.io,Active,3
Carrot Labs,W26,B2B,,Continuous Fine-Tuning for AI Models,https://carrotlabs.ai/,Active,2
Aurorin CAD,W26,"B2B, Engineering, Product and Design",,We help hardware companies ship faster,https://aurorincad.com,Active,1
DAIVIN!,W26,"Industrials, Defense",,"Tankless Dive Gear - Breath Autonomy at Sea, Land & Space",https://www.daivin.tech/,Active,1
GrazeMate,W26,"Industrials, Agriculture",,Robot Cowboys that Herd Cattle with AI Drones,https://grazemate.com,Active,4
Origami Robotics,W26,Industrials,,Manipulate Anything Robot,https://www.origami-robotics.com,Active,5
Librar Labs,W26,B2B,,Makes sense of unstructured data for enterprises.,https://www.librarlabs.com,Active,4
Rubric AI,W26,B2B,,Post-training research and product lab,https://therubric.ai,Active,2
Zymbly,W26,B2B,,Automates admin for aircraft technicians,https://www.zymbly.com,Active,3
Ritivel,W26,"Healthcare, Healthcare IT",,AI-native platform for Life-Sciences Documentation,https://www.ritivel.com,Active,3
Polymorph,W26,B2B,,Personalized AI growth team for consumer apps,https://usepolymorph.com/,Active,3
